id,sentiment
3364,Irrelevant
352,Neutral
8312,Irrelevant
4371,Negative
4433,Neutral
6273,Negative
7925,Positive
11332,Positive
1107,Positive
2069,Negative
3185,Negative
1172,Irrelevant
11783,Negative
4286,Neutral
8431,Negative
9135,Positive
4822,Positive
3068,Negative
10537,Positive
8056,Negative
2131,Negative
5450,Neutral
2286,Irrelevant
4038,Negative
526,Neutral
8977,Neutral
11995,Negative
9449,Negative
10193,Irrelevant
2419,Negative
8857,Positive
9704,Neutral
7024,Negative
8842,Positive
6650,Negative
2337,Positive
10589,Neutral
12997,Irrelevant
807,Positive
11229,Neutral
2366,Positive
9268,Neutral
2216,Negative
316,Neutral
1985,Positive
11378,Irrelevant
5207,Negative
7048,Negative
2274,Positive
13197,Irrelevant
9488,Positive
10275,Negative
6022,Negative
6379,Positive
3293,Positive
5818,Positive
1725,Positive
8697,Neutral
2277,Negative
11277,Negative
11736,Positive
1148,Positive
11403,Positive
3671,Irrelevant
8558,Negative
7023,Neutral
10227,Negative
2243,Irrelevant
1908,Positive
7740,Negative
11020,Irrelevant
7082,Negative
9608,Negative
8367,Positive
861,Positive
171,Irrelevant
9857,Irrelevant
9361,Positive
2142,Neutral
4438,Neutral
8121,Neutral
4177,Positive
986,Positive
12487,Neutral
7342,Irrelevant
4132,Neutral
5130,Negative
10334,Irrelevant
5515,Positive
11175,Neutral
5448,Neutral
3286,Neutral
3929,Positive
638,Negative
2057,Irrelevant
9456,Negative
11687,Negative
1589,Negative
3526,Positive
8174,Positive
11693,Neutral
11086,Negative
3948,Positive
8822,Positive
783,Neutral
465,Positive
1714,Negative
9850,Positive
10078,Negative
10585,Negative
10011,Neutral
5265,Positive
3206,Negative
3488,Neutral
11685,Negative
5122,Negative
9149,Neutral
96,Positive
11577,Positive
3083,Neutral
2981,Negative
4574,Positive
3993,Positive
1967,Negative
2713,Neutral
8438,Neutral
10729,Negative
8984,Neutral
1990,Negative
7205,Neutral
7564,Irrelevant
1701,Positive
10185,Negative
9619,Positive
7458,Positive
6056,Irrelevant
7433,Neutral
4236,Neutral
13044,Irrelevant
1989,Irrelevant
6408,Irrelevant
2808,Neutral
5473,Neutral
10021,Irrelevant
2218,Irrelevant
3729,Neutral
10906,Positive
8042,Irrelevant
2532,Positive
10262,Irrelevant
10268,Positive
3148,Negative
6218,Negative
122,Neutral
11248,Neutral
6560,Irrelevant
12716,Neutral
775,Negative
531,Neutral
11977,Neutral
8544,Negative
12548,Neutral
7213,Negative
1495,Irrelevant
9350,Irrelevant
6725,Irrelevant
7100,Neutral
11331,Negative
8129,Negative
8486,Negative
2527,Positive
11240,Positive
5075,Positive
3487,Neutral
7456,Neutral
9473,Positive
4697,Neutral
4343,Neutral
5154,Neutral
10670,Neutral
3617,Positive
11536,Neutral
6610,Negative
6339,Negative
7099,Neutral
10568,Positive
9766,Positive
5323,Irrelevant
1203,Irrelevant
5731,Neutral
10422,Positive
2430,Positive
790,Neutral
3801,Irrelevant
4974,Neutral
11328,Negative
11753,Negative
7733,Negative
8800,Negative
866,Positive
6889,Neutral
10534,Positive
7835,Negative
4453,Positive
2847,Positive
10156,Positive
1103,Negative
10027,Neutral
7357,Positive
7182,Positive
12509,Neutral
9506,Irrelevant
11551,Positive
115,Negative
1551,Positive
6675,Positive
6964,Negative
9353,Positive
3263,Negative
10544,Negative
4291,Positive
5121,Negative
8371,Positive
7349,Positive
2785,Negative
7251,Irrelevant
5505,Irrelevant
6896,Neutral
12681,Positive
3431,Positive
10496,Positive
6376,Irrelevant
3037,Neutral
319,Positive
3329,Irrelevant
4710,Negative
11006,Neutral
7012,Neutral
2335,Positive
7950,Negative
1823,Negative
3675,Irrelevant
833,Positive
1106,Positive
4734,Irrelevant
6038,Irrelevant
616,Neutral
1051,Positive
6953,Neutral
3095,Negative
11941,Positive
9880,Positive
6907,Positive
2547,Positive
645,Neutral
12480,Irrelevant
13039,Neutral
4895,Negative
4798,Neutral
3683,Positive
4272,Neutral
714,Negative
795,Neutral
410,Neutral
5688,Negative
10601,Positive
11567,Positive
10315,Irrelevant
7019,Negative
3426,Negative
1698,Irrelevant
12987,Positive
6961,Neutral
5861,Positive
3331,Negative
6851,Neutral
9336,Positive
8179,Positive
1131,Positive
6431,Negative
6267,Negative
1223,Negative
8131,Positive
12792,Negative
7004,Neutral
2857,Positive
659,Neutral
1431,Neutral
6338,Negative
4880,Positive
2897,Negative
11388,Positive
8876,Neutral
7879,Irrelevant
703,Negative
11620,Negative
4701,Positive
2935,Negative
3312,Neutral
8719,Negative
10091,Irrelevant
6353,Positive
2573,Negative
9661,Positive
2751,Irrelevant
13195,Positive
3634,Positive
4094,Positive
3469,Positive
10563,Positive
9481,Negative
9415,Negative
7384,Positive
10249,Negative
2191,Irrelevant
7587,Neutral
11533,Irrelevant
1804,Positive
9348,Irrelevant
8566,Neutral
6291,Irrelevant
6569,Positive
1221,Negative
5454,Positive
127,Neutral
6586,Irrelevant
8373,Neutral
3039,Neutral
7600,Positive
10933,Positive
3058,Positive
7285,Negative
8788,Negative
12627,Irrelevant
3602,Irrelevant
9105,Positive
6404,Irrelevant
5464,Positive
10695,Neutral
8955,Neutral
1565,Irrelevant
3361,Irrelevant
8408,Negative
11622,Negative
1023,Negative
11311,Irrelevant
4274,Positive
10412,Positive
710,Neutral
7506,Negative
5074,Positive
4385,Irrelevant
8343,Neutral
8716,Negative
3277,Negative
11808,Negative
10223,Positive
3084,Neutral
921,Neutral
4367,Irrelevant
7446,Negative
5417,Neutral
4650,Irrelevant
3296,Irrelevant
8917,Neutral
4922,Irrelevant
9840,Positive
10444,Neutral
13074,Neutral
10722,Positive
8244,Positive
6019,Negative
2738,Negative
9807,Negative
3525,Positive
10082,Neutral
9675,Negative
524,Positive
5217,Negative
3670,Positive
10188,Positive
10280,Irrelevant
6687,Positive
9063,Negative
3456,Neutral
6694,Negative
9864,Negative
12743,Irrelevant
3727,Irrelevant
9082,Positive
5149,Negative
1882,Positive
10095,Negative
9495,Negative
7829,Negative
1448,Irrelevant
11106,Positive
10598,Neutral
1529,Positive
2190,Positive
6137,Negative
5338,Neutral
533,Irrelevant
10844,Negative
5536,Positive
6992,Positive
8349,Neutral
5212,Negative
3463,Neutral
6496,Negative
12725,Irrelevant
7463,Neutral
11107,Negative
13,Neutral
12493,Positive
2592,Neutral
8184,Negative
7406,Neutral
8805,Neutral
11465,Negative
1474,Negative
5568,Negative
9467,Positive
11149,Negative
4186,Neutral
5421,Neutral
9116,Neutral
4153,Positive
8151,Positive
6494,Negative
5716,Negative
345,Neutral
2388,Negative
7635,Neutral
12565,Neutral
2750,Negative
9273,Irrelevant
980,Positive
9039,Negative
1356,Irrelevant
9388,Irrelevant
7947,Positive
9452,Positive
800,Irrelevant
12409,Irrelevant
2533,Neutral
9145,Positive
3723,Irrelevant
2709,Neutral
3532,Negative
6715,Negative
2802,Positive
12720,Negative
4936,Irrelevant
10513,Neutral
2941,Positive
6949,Irrelevant
13012,Negative
10212,Irrelevant
10256,Neutral
12514,Neutral
5045,Irrelevant
8417,Neutral
4821,Irrelevant
7547,Negative
12946,Irrelevant
4456,Negative
8970,Neutral
4306,Positive
10406,Irrelevant
2457,Irrelevant
507,Positive
6356,Irrelevant
2195,Negative
12618,Neutral
11550,Negative
6894,Neutral
12541,Positive
2600,Positive
6509,Negative
6772,Positive
8366,Positive
987,Positive
7852,Positive
1673,Positive
4840,Negative
1255,Irrelevant
11417,Irrelevant
9697,Negative
12806,Positive
8617,Neutral
7094,Neutral
8292,Positive
6258,Positive
1428,Irrelevant
8055,Positive
6787,Irrelevant
3838,Positive
2008,Irrelevant
4096,Neutral
5328,Negative
7618,Negative
7108,Negative
10008,Irrelevant
49,Neutral
10778,Positive
11962,Negative
6086,Irrelevant
3757,Positive
586,Positive
2870,Negative
6838,Neutral
2015,Negative
7782,Negative
3769,Positive
1586,Neutral
6323,Negative
6187,Negative
4626,Negative
287,Neutral
8846,Neutral
11656,Positive
10891,Negative
394,Neutral
6340,Negative
3169,Neutral
11244,Positive
9393,Positive
9114,Neutral
7736,Negative
7689,Negative
4040,Positive
8998,Irrelevant
6619,Irrelevant
8528,Negative
5311,Neutral
5003,Negative
3764,Positive
10461,Positive
9229,Negative
6977,Neutral
4851,Positive
3808,Positive
706,Negative
3918,Neutral
9666,Positive
1032,Positive
4377,Positive
7785,Negative
12991,Negative
11440,Neutral
2375,Irrelevant
5832,Negative
6906,Negative
11976,Positive
11529,Negative
8170,Neutral
5865,Negative
560,Negative
9029,Negative
1789,Positive
3421,Neutral
8220,Positive
7281,Negative
2743,Positive
8619,Negative
8826,Negative
8990,Neutral
8664,Negative
7848,Negative
7794,Negative
7581,Positive
5041,Negative
4020,Irrelevant
568,Negative
3029,Neutral
7631,Negative
813,Neutral
11028,Neutral
2695,Positive
10719,Negative
2703,Positive
4334,Positive
10865,Neutral
12443,Neutral
3405,Irrelevant
13107,Irrelevant
11033,Neutral
7444,Neutral
6795,Negative
7445,Neutral
7259,Neutral
6826,Neutral
4761,Irrelevant
6718,Negative
13097,Negative
6102,Irrelevant
2994,Irrelevant
6466,Irrelevant
8939,Positive
12652,Neutral
2515,Neutral
5455,Negative
2414,Neutral
11382,Positive
1439,Neutral
5333,Neutral
1372,Neutral
11565,Neutral
10596,Positive
10271,Neutral
9966,Neutral
354,Positive
12874,Neutral
12677,Positive
7664,Negative
13158,Irrelevant
6540,Positive
620,Neutral
11615,Negative
726,Positive
134,Neutral
6658,Positive
2098,Irrelevant
3057,Irrelevant
2014,Negative
1154,Positive
6280,Neutral
2384,Irrelevant
9437,Negative
6164,Negative
3449,Negative
9508,Negative
4333,Negative
3720,Neutral
10115,Irrelevant
4902,Negative
3645,Positive
4373,Irrelevant
519,Negative
2603,Positive
6877,Negative
5312,Negative
9683,Negative
1069,Irrelevant
6850,Neutral
12594,Negative
6091,Positive
1035,Positive
10391,Positive
1676,Positive
9089,Irrelevant
4440,Negative
9657,Negative
9595,Irrelevant
8810,Negative
9177,Neutral
12456,Positive
1619,Neutral
364,Irrelevant
2567,Neutral
7780,Negative
11894,Positive
3316,Irrelevant
10306,Irrelevant
10429,Positive
279,Neutral
11544,Positive
11153,Negative
9634,Negative
6,Neutral
818,Positive
6890,Negative
855,Positive
215,Negative
7306,Neutral
664,Positive
6860,Positive
8821,Neutral
7486,Positive
9940,Neutral
4925,Irrelevant
5313,Positive
8360,Neutral
10694,Negative
3353,Neutral
9915,Irrelevant
10909,Negative
12,Positive
7694,Negative
3912,Irrelevant
11590,Neutral
8270,Negative
11306,Negative
1901,Positive
6472,Irrelevant
515,Positive
4276,Negative
10007,Negative
6854,Neutral
4811,Neutral
7806,Positive
11674,Irrelevant
12714,Positive
5048,Positive
5025,Positive
8728,Negative
11824,Neutral
11482,Positive
12582,Neutral
80,Neutral
300,Negative
5083,Negative
9627,Negative
11865,Neutral
10102,Positive
1344,Neutral
7366,Negative
5921,Irrelevant
18,Positive
2255,Positive
3944,Positive
2160,Irrelevant
11155,Negative
1110,Positive
6646,Irrelevant
5285,Negative
8943,Neutral
10370,Negative
6806,Negative
13160,Positive
1171,Positive
10748,Negative
493,Positive
6224,Positive
5681,Irrelevant
4090,Positive
9769,Positive
832,Neutral
5479,Negative
7021,Neutral
1579,Negative
4998,Negative
11610,Negative
9895,Irrelevant
6583,Negative
13150,Neutral
9403,Positive
6143,Positive
9588,Positive
10498,Positive
1752,Neutral
9102,Negative
8033,Negative
11633,Negative
10080,Negative
11505,Negative
5984,Neutral
3402,Irrelevant
979,Neutral
1954,Positive
2952,Negative
6098,Positive
159,Neutral
2559,Negative
712,Negative
4275,Neutral
6109,Positive
4894,Negative
2486,Neutral
4533,Neutral
829,Positive
3061,Negative
6407,Negative
3558,Neutral
7299,Irrelevant
10712,Neutral
10121,Irrelevant
1605,Positive
3898,Positive
5888,Neutral
5965,Negative
11214,Neutral
970,Positive
5999,Negative
10520,Neutral
168,Neutral
7590,Negative
604,Positive
689,Neutral
5641,Neutral
12912,Irrelevant
11852,Negative
12809,Positive
9792,Neutral
8718,Negative
4471,Negative
7365,Neutral
9991,Irrelevant
12882,Irrelevant
1070,Negative
10888,Negative
9167,Neutral
1505,Irrelevant
4700,Negative
13098,Positive
7382,Neutral
6361,Negative
10644,Positive
1425,Irrelevant
9207,Negative
2671,Negative
427,Positive
2450,Positive
7617,Negative
4470,Irrelevant
6437,Irrelevant
953,Positive
157,Neutral
4416,Negative
9548,Neutral
5429,Positive
6345,Positive
10679,Irrelevant
8518,Positive
7801,Negative
1760,Irrelevant
5336,Negative
1857,Negative
4411,Negative
5711,Negative
12790,Neutral
1822,Negative
9494,Irrelevant
218,Positive
9820,Positive
10054,Negative
11877,Neutral
9788,Positive
5301,Negative
6773,Negative
10986,Negative
7249,Negative
12831,Negative
2049,Negative
9686,Negative
12554,Irrelevant
10307,Irrelevant
1498,Irrelevant
447,Neutral
10889,Positive
1783,Negative
2480,Neutral
7069,Neutral
1318,Positive
3229,Negative
220,Neutral
11613,Negative
7575,Irrelevant
3590,Positive
7272,Negative
6853,Neutral
5532,Positive
4018,Neutral
166,Negative
6617,Irrelevant
11363,Irrelevant
10777,Positive
2249,Negative
10558,Positive
4235,Neutral
10595,Neutral
6640,Irrelevant
9664,Neutral
9533,Neutral
13176,Irrelevant
4865,Irrelevant
1582,Irrelevant
10073,Irrelevant
7800,Positive
9699,Irrelevant
10162,Positive
5598,Positive
7065,Irrelevant
11269,Negative
7726,Negative
2103,Neutral
10555,Neutral
11869,Neutral
9054,Neutral
4569,Neutral
5192,Neutral
10439,Neutral
7659,Negative
5182,Negative
5756,Negative
6194,Negative
3998,Positive
8973,Negative
3204,Neutral
11760,Negative
5170,Irrelevant
5354,Neutral
6917,Positive
3946,Positive
9836,Negative
6185,Negative
7948,Irrelevant
739,Neutral
11653,Neutral
12444,Positive
1088,Positive
8305,Neutral
3254,Neutral
11750,Irrelevant
6055,Irrelevant
3621,Negative
8985,Neutral
930,Positive
1961,Irrelevant
12469,Neutral
5068,Negative
12664,Neutral
6891,Negative
452,Positive
12887,Negative
6272,Negative
10849,Neutral
3314,Neutral
2653,Neutral
13033,Irrelevant
7955,Negative
7267,Positive
11900,Irrelevant
2752,Neutral
11046,Negative
5987,Negative
9496,Positive
7393,Positive
6219,Irrelevant
6593,Irrelevant
8451,Negative
1792,Negative
11755,Neutral
6029,Negative
10602,Neutral
9572,Neutral
4621,Neutral
11463,Irrelevant
353,Neutral
2336,Neutral
8377,Irrelevant
4951,Positive
3639,Neutral
6750,Positive
4158,Positive
1694,Negative
4554,Negative
10708,Neutral
9672,Positive
201,Neutral
10309,Neutral
6303,Irrelevant
4050,Negative
126,Neutral
2769,Positive
4313,Neutral
6297,Irrelevant
1264,Positive
10646,Positive
11957,Negative
8318,Negative
3080,Positive
2734,Positive
397,Positive
12949,Negative
2219,Positive
4444,Neutral
10128,Positive
11431,Negative
5495,Positive
12689,Positive
9446,Negative
3108,Negative
1373,Negative
10588,Neutral
3980,Positive
4905,Irrelevant
7516,Neutral
5708,Positive
11504,Positive
2165,Neutral
2962,Positive
314,Negative
9701,Positive
4891,Irrelevant
4359,Irrelevant
2652,Positive
8069,Positive
6960,Neutral
